City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tessalit,20.1986,1.0114,62.08,15,76,10.4,ML,1675543720
84,albany,42.6001,-73.9662,11.89,46,61,3.67,US,1675543620
85,butaritari,3.0707,172.7902,81.32,80,66,19.69,KI,1675543721
86,morehead,37.2711,-87.1764,48.85,40,0,13.8,US,1675543562
87,upernavik,72.7868,-56.1549,-6.47,95,100,6.26,GL,1675543722
88,nanakuli,21.3906,-158.1547,71.46,72,75,6.91,US,1675543692
89,daru,-9.0763,143.2092,75.45,94,100,8.61,PG,1675543631
90,sterling,39.0062,-77.4286,33.85,33,20,14.97,US,1675543723
91,bredasdorp,-34.5322,20.0403,71.42,78,0,6.46,ZA,1675543723
92,port elizabeth,-33.918,25.5701,75.74,63,100,6.02,ZA,1675543724
93,zhanjiang,21.2815,110.3427,65.03,91,100,14.27,CN,1675543724
94,cherskiy,68.75,161.3,-35.72,100,95,4.72,RU,1675543725
95,marzuq,14.4,46.4667,64.09,69,33,3.15,YE,1675543726
96,martil,35.6166,-5.2752,51.76,82,0,1.14,MA,1675543726
97,tazovskiy,67.4667,78.7,8.11,96,100,4.27,RU,1675543437
98,stornoway,58.2093,-6.3865,40.03,80,75,9.22,GB,1675543727
99,ribeira grande,38.5167,-28.7,62.78,94,20,10.36,PT,1675543727
100,saskylakh,71.9167,114.0833,-38.06,100,83,2.53,RU,1675543728
101,komsomolskiy,40.4272,71.7189,39.92,87,100,9.22,UZ,1675543728
102,viru,-8.4167,-78.75,81.66,54,80,9.73,PE,1675543729
103,hithadhoo,-0.6,73.0833,81.23,73,98,14.52,MV,1675543729
104,pandan,14.0453,124.1694,76.46,88,99,15.28,PH,1675543730
105,yellowknife,62.456,-114.3525,-17.88,69,75,3.44,CA,1675543730
106,mizque,-17.941,-65.3402,56.5,91,100,3.29,BO,1675543731
107,cidreira,-30.1811,-50.2056,77.72,65,57,9.78,BR,1675543731
108,ostrovnoy,68.0531,39.5131,12.92,85,100,11.81,RU,1675543732
109,gorodishche,48.8045,44.4744,27.48,86,100,11.18,RU,1675543732
110,wasilla,61.5814,-149.4394,23.31,92,100,0.0,US,1675543708
111,vagay,57.9375,69.0217,-0.76,99,98,2.06,RU,1675543733
112,sur,22.5667,59.5289,70.3,68,2,4.59,OM,1675543459
113,choix,26.7092,-108.3219,89.65,14,1,7.0,MX,1675543590
114,east london,-33.0153,27.9116,74.82,83,100,11.21,ZA,1675543734
115,long beach,33.767,-118.1892,75.85,52,0,8.05,US,1675543671
116,saint-pierre,-21.3393,55.4781,78.48,83,0,4.61,RE,1675543735
117,mount isa,-20.7333,139.5,71.37,37,99,9.22,AU,1675543735
118,storforshei,66.4043,14.5233,8.38,85,100,0.0,NO,1675543736
119,crateus,-5.1783,-40.6775,88.21,29,73,6.69,BR,1675543736
120,lang son,21.8333,106.7333,64.42,98,100,2.42,VN,1675543737
121,port alfred,-33.5906,26.891,73.18,88,100,15.57,ZA,1675543737
122,mitu,1.1983,-70.1733,85.05,58,56,4.38,CO,1675543738
123,comodoro rivadavia,-45.8667,-67.5,75.06,46,0,17.27,AR,1675543738
124,hambantota,6.1241,81.1185,75.52,86,18,11.72,LK,1675543598
125,lebu,-37.6167,-73.65,64.98,81,54,8.93,CL,1675543739
126,hervey bay,-25.2986,152.8535,78.48,84,94,11.61,AU,1675543739
127,khonsa,27.0167,95.5667,54.36,51,9,3.47,IN,1675543740
128,torbay,47.6666,-52.7314,7.57,79,75,23.02,CA,1675543551
129,sibolga,1.7427,98.7792,75.78,86,100,2.68,ID,1675543740
130,tiznit,29.5833,-9.5,51.44,48,6,1.83,MA,1675543741
